# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  215,20160101,   49,   -5,   81
  215,20160102,   62,   49,   73
  215,20160103,   72,   53,   89
  215,20160104,   65,   45,   78
  215,20160105,   69,   63,   77
  215,20160106,   46,   36,   66
  215,20160107,   64,   42,   87
  215,20160108,   60,   16,   89
  215,20160109,   60,   17,   85
  215,20160110,   69,   46,   87
  215,20160111,   55,   34,   76
  215,20160112,   68,   55,   79
  215,20160113,   56,   23,   76
  215,20160114,   41,   26,   66
  215,20160115,   30,    8,   50
  215,20160116,   42,    6,   62
  215,20160117,   -1,  -43,   35
  215,20160118,  -23,  -42,    2
  215,20160119,  -12,  -66,   23
  215,20160120,   20,  -32,   60
  215,20160121,   -6,  -47,   13
  215,20160122,   20,  -20,   84
  215,20160123,   79,   63,  101
  215,20160124,   87,   56,  118
  215,20160125,  108,   84,  139
  215,20160126,   90,   54,  107
  215,20160127,  108,   82,  119
  215,20160128,   68,   51,   89
  215,20160129,   94,   65,  107
  215,20160130,   77,   55,   98
  215,20160131,   76,   57,  109
  215,20160201,  112,  101,  121
  215,20160202,   87,   65,  108
  215,20160203,   56,   37,   70
  215,20160204,   59,   22,   79
  215,20160205,   90,   41,  109
  215,20160206,   97,   86,  108
  215,20160207,   84,   63,  121
  215,20160208,   87,   71,   99
  215,20160209,   60,   41,   83
  215,20160210,   58,   39,   80
  215,20160211,   41,  -11,   76
  215,20160212,   27,  -26,   61
  215,20160213,   20,  -17,   41
  215,20160214,   25,   19,   31
  215,20160215,   24,  -34,   66
  215,20160216,    2,  -51,   60
  215,20160217,  -12,  -49,   36
