YYYY,MM,DD,Min,MAX,AVG
2016,1,1,-0.5,4.9,8.1
2016,1,2,4.9,6.2,7.3
2016,1,3,5.3,7.2,8.9
2016,1,4,4.5,6.5,7.8
2016,1,5,6.3,6.9,7.7
2016,1,6,3.6,4.6,6.6
2016,1,7,4.2,6.4,8.7
2016,1,8,1.6,6.0,8.9
2016,1,9,1.7,6.0,8.5
2016,1,10,4.6,6.9,8.7
2016,1,11,3.4,5.5,7.6
2016,1,12,5.5,6.8,7.9
2016,1,13,2.3,5.6,7.6
2016,1,14,2.6,4.1,6.6
2016,1,15,0.8,3.0,5.0
2016,1,16,0.6,4.2,6.2
2016,1,17,-4.3,-0.1,3.5
2016,1,18,-4.2,-2.3,0.2
2016,1,19,-6.6,-1.2,2.3
2016,1,20,-3.2,2.0,6.0
2016,1,21,-4.7,-0.6,1.3
2016,1,22,-2.0,2.0,8.4
2016,1,23,6.3,7.9,10.1
2016,1,24,5.6,8.7,11.8
2016,1,25,8.4,10.8,13.9
2016,1,26,5.4,9.0,10.7
2016,1,27,8.2,10.8,11.9
2016,1,28,5.1,6.8,8.9
2016,1,29,6.5,9.4,10.7
2016,1,30,5.5,7.7,9.8
2016,1,31,5.7,7.6,10.9
2016,2,1,10.1,11.2,12.1
2016,2,2,6.5,8.7,10.8
2016,2,3,3.7,5.6,7.0
2016,2,4,2.2,5.9,7.9
2016,2,5,4.1,9.0,10.9
2016,2,6,8.6,9.7,10.8
2016,2,7,6.3,8.4,12.1
2016,2,8,7.1,8.7,9.9
2016,2,9,4.1,6.0,8.3
2016,2,10,3.9,5.8,8.0
2016,2,11,-1.1,4.1,7.6
2016,2,12,-2.6,2.7,6.1
2016,2,13,-1.7,2.0,4.1
2016,2,14,1.9,2.5,3.1
2016,2,15,-3.4,2.4,6.6
2016,2,16,-5.1,0.2,6.0
2016,2,17,-4.9,-1.2,3.6
2016,2,18,-3.8,1.1,2.6
2016,2,19,-2.8,4.2,8.4
2016,2,20,5.1,8.5,10.6
2016,2,21,8.7,10.4,11.3
2016,2,22,4.2,7.0,11.0
2016,2,23,2.3,5.0,7.7
2016,2,24,-1.7,2.4,6.7
2016,2,25,-0.7,2.5,5.4
2016,2,26,0.9,2.9,5.8
2016,2,27,0.5,3.0,6.3
2016,2,28,-0.7,2.8,6.7
2016,2,29,-3.6,1.5,6.4
2016,3,1,-4.9,3.4,8.8
2016,3,2,2.6,5.5,9.0
2016,3,3,-0.1,3.7,7.7
2016,3,4,-2.2,2.2,6.5
2016,3,5,-3.6,2.3,7.9
2016,3,6,-0.9,3.3,6.8
2016,3,7,-0.2,2.7,6.0
2016,3,8,-0.3,4.4,7.6
2016,3,9,2.5,5.3,8.4
2016,3,10,-0.7,4.5,8.8
2016,3,11,0.7,4.1,8.4
2016,3,12,-0.6,4.0,9.3
2016,3,13,-0.3,4.1,9.0
2016,3,14,-0.2,4.2,9.1
2016,3,15,-1.4,4.9,7.9
2016,3,16,1.6,5.1,9.5
2016,3,17,1.4,5.6,11.2
2016,3,18,3.2,5.6,7.3
2016,3,19,5.4,6.4,8.0
2016,3,20,3.2,6.6,9.3
2016,3,21,6.2,7.2,8.9
2016,3,22,4.2,7.3,10.0
2016,3,23,5.9,7.6,9.7
2016,3,24,5.9,7.9,10.5
2016,3,25,0.3,6.6,9.7
2016,3,26,-0.1,9.4,15.0
2016,3,27,6.4,8.7,12.9
2016,3,28,7.6,9.2,11.4
2016,3,29,5.8,8.2,11.1
2016,3,30,5.1,8.0,10.4
2016,3,31,3.6,7.7,12.1
2016,4,1,-0.6,6.8,13.4
2016,4,2,6.7,10.3,12.8
2016,4,3,11.6,13.9,17.3
2016,4,4,8.2,12.0,15.0
2016,4,5,6.7,9.4,12.0
2016,4,6,4.6,8.5,10.9
2016,4,7,3.8,7.6,9.8
2016,4,8,1.0,6.0,11.3
2016,4,9,1.7,9.2,14.9
2016,4,10,4.5,10.2,14.3
2016,4,11,7.9,13.1,18.0
2016,4,12,4.9,10.9,15.9
2016,4,13,3.9,9.7,15.3
2016,4,14,3.5,10.6,16.2
2016,4,15,8.3,10.1,13.2
2016,4,16,4.9,7.8,10.4
2016,4,17,1.0,6.3,10.4
2016,4,18,0.8,8.3,12.2
2016,4,19,1.8,8.8,12.2
2016,4,20,0.0,7.9,13.5
2016,4,21,3.6,10.0,15.3
2016,4,22,6.4,8.7,11.7
2016,4,23,3.2,6.3,9.5
2016,4,24,1.1,5.2,8.8
2016,4,25,1.3,5.7,8.6
2016,4,26,3.0,5.5,8.4
2016,4,27,3.0,6.0,8.7
2016,4,28,-0.1,4.8,8.5
2016,4,29,4.3,7.9,11.2
2016,4,30,1.3,7.1,10.2
2016,5,1,-0.6,6.6,12.3
2016,5,2,0.0,10.4,16.5
2016,5,3,2.9,8.8,11.9
2016,5,4,1.6,9.7,16.1
2016,5,5,4.4,12.8,18.0
2016,5,6,9.5,15.7,23.0
2016,5,7,8.6,18.2,25.2
2016,5,8,13.0,19.7,25.0
2016,5,9,14.1,19.7,23.9
2016,5,10,15.6,18.1,20.9
2016,5,11,14.1,19.7,24.7
2016,5,12,14.4,19.9,24.8
2016,5,13,8.6,14.4,21.5
2016,5,14,6.7,8.8,11.8
2016,5,15,5.4,8.5,11.7
2016,5,16,5.9,9.0,12.3
2016,5,17,6.4,12.2,16.1
2016,5,18,8.9,12.9,17.8
2016,5,19,10.0,12.6,16.8
2016,5,20,11.1,13.6,16.8
2016,5,21,11.1,16.9,22.5
2016,5,22,11.7,13.9,17.3
2016,5,23,10.4,11.7,13.5
2016,5,24,9.8,10.9,13.4
2016,5,25,7.3,11.4,15.1
2016,5,26,5.1,12.3,17.3
2016,5,27,11.1,15.8,20.8
2016,5,28,10.4,16.8,20.9
2016,5,29,14.0,16.6,20.3
2016,5,30,13.1,13.7,14.7
2016,5,31,13.1,17.7,21.9
2016,6,1,13.0,15.7,19.4
2016,6,2,12.1,13.0,14.1
2016,6,3,12.2,13.7,15.7
2016,6,4,12.7,18.4,24.2
2016,6,5,11.0,17.2,22.1
2016,6,6,11.0,17.2,22.3
2016,6,7,13.6,19.6,25.6
2016,6,8,12.0,14.7,18.4
2016,6,9,9.0,13.6,16.5
2016,6,10,8.4,14.8,19.3
2016,6,11,12.5,15.4,19.8
2016,6,12,12.7,16.4,21.5
2016,6,13,14.4,15.2,17.3
2016,6,14,11.6,15.0,18.3
2016,6,15,9.6,14.6,18.7
2016,6,16,9.7,15.1,19.4
2016,6,17,12.2,15.4,18.8
2016,6,18,9.7,13.2,15.9
2016,6,19,11.7,15.5,19.5
2016,6,20,14.4,15.7,16.5
2016,6,21,11.5,15.7,19.3
2016,6,22,11.3,19.7,25.0
2016,6,23,17.9,20.5,26.7
2016,6,24,11.8,17.5,20.5
2016,6,25,9.7,14.6,18.5
2016,6,26,11.6,15.4,17.9
